,SMARCA1,FMO4,HLF,AKAP12,LINC00862,SEMA4A,TUBB3,UGGT2,DBP,GSTM2,STRIP2,ATP13A5,ITGA9-AS1,SDR42E1,NKILA,PRSS12,TEF,PCDHA13,HTR1D,ITGB1-DT,PNMA1,ADAMTS6,LINC00346,FAM83A-AS1,BLOC1S4,TP53I3,VAV2,INSYN1-AS1,PLEKHG2,LINC02598,GVQW2,DNAJC10,CTTNBP2,IBTK,FAM117A,FUBP1,JPH1,WSCD2,SLC52A1,RHOF,ABL2,CBX7,ASTE1,COLCA1,TM9SF1,LRP10,HARS2,SLC9A9,COBLL1,FBXO4,FAM222B,IRX6,SLC15A2,SYNPR-AS1,PVR,SLC1A4,KLRG2,LINC00240,BZW1,train_mean_me1,train_mean_me2,train_mean_me3
TRAIN_0001,4.8155,2.5635,5.8091,3.2496,-4.3104,5.2575,3.7533,4.3585,4.3726,3.7394,0.6701,0.1396,0.8189,5.0105,0.3821,6.1695,5.3249,-0.4884,-3.0303,-3.4173,4.4611,-0.928,2.0696,2.0294,3.2365,3.9191,6.1564,-7.1178,4.8163,-7.1178,-2.3629,6.8538,0.2131,6.4015,4.8476,6.6967,2.5529,-0.4596,1.7981,1.433,5.9072,4.739,3.023,3.8616,3.267,8.2852,4.6599,2.6152,5.4221,3.0205,6.0084,-0.4596,4.4667,0.1583,5.2532,5.6315,3.2756,0.2831,7.3543,-0.027387939,0.024298737,-0.028964037
TRAIN_0002,6.6989,1.6926,6.1519,4.8696,-2.8888,5.0178,5.2529,4.1211,3.0025,2.4934,4.1639,-4.1689,-0.4684,4.1665,4.252,2.0817,4.5081,-1.3615,3.7845,2.9823,6.1302,0.9003,3.9314,3.0336,4.794,6.2048,5.9857,-6.9762,6.8538,-4.6543,-2.5839,7.4083,1.2185,5.8321,4.2447,6.6836,2.2012,-3.0694,0.6458,3.4677,5.9632,3.9026,3.232,-0.6364,3.4719,8.467,5.1365,2.4729,4.8775,3.7961,6.4135,0.863,2.1086,-0.7864,7.7549,4.499,1.4873,-1.7668,7.8156,-0.03704087,-0.003777836,0.024696272
TRAIN_0003,5.5111,1.8261,1.6026,4.2841,1.3082,5.7528,3.1064,5.3453,4.2412,3.8794,0.882,-2.3043,1.0139,4.1198,0.6911,3.4513,5.1188,-3.1974,1.9436,-0.9603,6.0168,1.0721,2.5588,0.0898,4.1446,4.5887,6.1373,-6.0047,5.0616,-0.4298,-1.0819,7.903,-0.241,5.6456,3.9027,6.7921,1.0933,2.4938,2.8355,2.8972,5.4903,4.7353,3.3492,2.9446,3.2472,8.1029,5.1192,4.331,5.1363,3.2233,5.776,-2.1634,4.5572,-7.5897,6.3064,5.6714,0.2241,-0.1385,7.0397,-0.026094381,0.083562369,0.012784311
TRAIN_0004,7.171,2.3102,3.7342,4.7049,1.8786,5.8313,3.3272,3.7734,2.448,4.1354,1.4095,0.5385,1.3216,4.2823,2.1148,4.5181,4.2025,1.5707,0.0479,-3.4485,4.3244,0.0109,1.5057,0.8837,3.9789,5.8293,5.3676,-6.2559,6.7112,-4.6709,-2.0079,6.2497,1.4095,6.4795,4.1461,6.635,4.3598,-0.423,-0.8296,2.9705,5.5462,5.1509,3.1386,3.0365,2.7581,8.3404,5.3739,2.9215,6.2674,3.2618,5.4407,0.1535,5.2041,0.924,5.1751,4.4506,1.4788,0.4584,7.5407,-0.025607767,0.006361541,-0.043095834
TRAIN_0005,6.396,2.8998,3.5129,4.8654,-2.0294,6.668,2.9796,5.0157,3.2411,0.6029,4.5364,-1.4127,0.4731,-0.1549,-0.9821,4.4805,3.8823,-3.6144,-2.0294,-2.7664,4.2695,0.8839,2.2386,1.7572,4.2671,4.4994,7.0487,-5.9363,6.6016,-4.3513,-2.4769,7.8462,2.4858,7.5481,3.2511,6.6079,1.119,-1.0783,-3.6144,2.2877,4.7103,4.3526,3.0091,4.6458,3.2949,7.947,4.2424,2.4517,6.606,4.1709,5.7304,-1.8488,4.6345,2.0003,4.4742,4.8094,-4.3513,0.041,7.9028,-0.052556377,0.014890181,-0.08493624
TRAIN_0006,4.3114,1.1961,2.2262,3.6783,-2.1463,5.025,5.0768,4.4023,3.3204,3.7601,5.5091,-0.9666,0.3211,2.8819,2.8173,-0.2934,3.6069,-1.3516,4.2878,-1.9797,5.8762,-0.5811,4.3782,2.4999,3.8896,4.5913,6.3703,-7.761,5.1773,-2.8068,-1.6525,6.7097,-0.4849,6.392,3.8083,6.2834,4.9322,-0.3602,0.5744,3.1254,4.841,4.024,3.3403,0.6943,3.3702,7.767,5.1114,2.9263,4.4747,3.2439,5.4084,-1.3181,3.9741,1.0559,6.356,5.4604,0.8426,-0.9666,8.5669,-0.031879973,0.009295014,-0.00693131
TRAIN_0007,6.6237,2.5194,2.1915,3.7521,0.9394,5.5946,2.3964,3.9686,3.9248,3.8024,0.7126,-1.1415,0.9243,3.1828,2.7181,3.9805,5.3,-0.0719,-0.1981,-3.1258,5.3484,0.886,3.2508,1.6245,4.2191,5.4824,5.9235,-3.9489,4.1808,-0.9079,-1.1102,7.6963,1.1867,6.0659,4.3954,7.1117,1.6883,0.2515,1.6749,2.7355,4.8196,4.5058,3.3287,3.2658,3.4094,8.5301,5.0669,3.4295,5.2611,2.97,5.43,-4.1899,6.5027,-0.1336,5.2423,5.2461,-0.8291,-0.1179,7.3961,-0.016590663,0.022678398,0.005649704
TRAIN_0008,4.1916,2.2287,3.2176,5.6289,-1.7693,4.8471,0.821,3.5598,3.9779,1.3646,0.9629,-3.3542,2.1419,4.1306,1.6307,5.1914,4.5965,-2.5062,1.6547,0.1735,6.6813,0.46,3.2751,1.1096,4.1014,5.7447,6.7358,-5.6762,4.0726,-5.6762,-2.3069,6.7278,0.3609,6.3756,3.4829,6.1809,2.4854,2.1333,-0.4667,3.9006,3.6821,5.8034,3.3453,2.8565,3.371,9.7129,5.1628,3.1493,5.4106,3.2982,5.8318,0.982,4.136,0.5137,5.2622,4.9924,-1.3304,-1.5332,7.3527,-0.02872645,0.00201914,-0.005161408
TRAIN_0009,8.4492,1.1983,-0.1716,11.6532,0.9795,3.4428,3.5432,5.2917,2.8677,0.2759,2.7539,-6.4383,-1.9148,1.6858,3.0793,0.9104,2.678,2.2163,2.7291,1.7266,6.1298,4.1828,2.0495,2.3786,3.8825,5.5528,6.5441,-6.4383,7.9984,-2.7379,-1.7945,8.6731,-1.5804,7.7649,2.6728,7.7774,-1.7945,-4.8534,0.191,5.8697,7.0436,1.7465,2.6088,-0.3298,3.9203,9.3742,5.8346,1.8517,3.5231,3.464,6.7951,-2.7379,2.1504,-4.1164,7.3533,3.5115,-2.9789,-0.6055,8.431,-0.065046761,0.025342348,0.029204124
TRAIN_0010,5.62,1.5699,4.6137,5.6116,-1.6,5.1426,2.5453,4.6814,3.8027,2.4349,4.8501,-3.3162,-0.1463,2.687,2.3643,1.2601,4.0847,-0.766,-1.3687,-4.5386,5.6192,0.9745,3.8863,2.1385,3.7637,4.7796,5.9616,-6.1236,6.584,-6.1236,-4.5386,8.3017,0.5907,6.717,4.8401,6.4274,2.7863,-0.8382,0.8877,1.9044,5.8726,4.0224,2.9398,0.7468,3.7545,8.8964,4.6154,3.666,5.9081,2.8451,5.4842,0.4156,3.9112,0.0663,5.5235,6.4527,-0.1012,1.344,7.6772,-0.036713535,-0.012578823,-0.015462866
